,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
156,156,3,09/08/18,07:00:00 PM,Sat,Troy,59,,Florida A&M,7,Veterans Memorial Stadium - Troy Alabama
157,157,3,09/08/18,08:00:00 PM,Sat,Tulane,42,,Nicholls State,17,Yulman Stadium - New Orleans Louisiana
158,158,3,09/08/18,07:30:00 PM,Sat,Utah,17,@,Northern Illinois,6,Huskie Stadium - DeKalb Illinois
159,159,3,09/08/18,,Sat,Utah State,60,,New Mexico State,13,Merlin Olsen Field at Maverik Stadium - Logan Utah
160,160,3,09/08/18,12:00:00 PM,Sat,Vanderbilt,41,,Nevada,10,Vanderbilt Stadium - Nashville Tennessee
161,161,3,09/08/18,02:00:00 PM,Sat,(12) Virginia Tech,62,,William & Mary,17,Lane Stadium - Blacksburg Virginia
162,162,3,09/08/18,12:00:00 PM,Sat,Wake Forest,51,,Towson,20,BB&T Field - Winston-Salem North Carolina
163,163,3,09/08/18,05:00:00 PM,Sat,(9) Washington,45,,North Dakota,3,Husky Stadium - Seattle Washington
164,164,3,09/08/18,11:00:00 PM,Sat,Washington State,31,,San Jose State,0,Martin Stadium - Pullman Washington
165,165,3,09/08/18,06:00:00 PM,Sat,(14) West Virginia,52,,Youngstown State,17,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
166,166,3,09/08/18,12:00:00 PM,Sat,(5) Wisconsin,45,,New Mexico,14,Camp Randall Stadium - Madison Wisconsin
167,167,4,09/12/18,02:00:00 PM,Wed,Coastal Carolina,58,@,Campbell,21,Barker-Lane Stadium - Buies Creek North Carolina
168,168,4,09/13/18,05:30:00 PM,Thu,Boston College,41,@,Wake Forest,34,BB&T Field - Winston-Salem North Carolina
169,169,4,09/13/18,04:00:00 PM,Thu,Charlotte,28,,Old Dominion,25,Jerry Richardson Stadium - Charlotte North Carolina
170,170,4,09/13/18,,Thu,Utah State,73,,Tennessee Tech,12,Merlin Olsen Field at Maverik Stadium - Logan Utah
171,171,4,09/14/18,07:00:00 PM,Fri,Memphis,59,,Georgia State,22,Liberty Bowl Memorial Stadium - Memphis Tennessee
172,172,4,09/15/18,,Sat,Akron,39,@,Northwestern,34,Ryan Field - Evanston Illinois
173,173,4,09/15/18,07:00:00 PM,Sat,(1) Alabama,62,@,Mississippi,7,Vaught-Hemingway Stadium - Oxford Mississippi
174,174,4,09/15/18,01:00:00 PM,Sat,Alabama-Birmingham,31,,Tulane,24,Legion Field - Birmingham Alabama
175,175,4,09/15/18,11:00:00 PM,Sat,Arizona,62,,Southern Utah,31,Arizona Stadium - Tucson Arizona
176,176,4,09/15/18,,Sat,Arkansas State,29,@,Tulsa,20,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
177,177,4,09/15/18,12:00:00 PM,Sat,Army,28,,Hawaii,21,Michie Stadium - West Point New York
178,178,4,09/15/18,04:00:00 PM,Sat,Bowling Green State,42,,Eastern Kentucky,35,Doyt Perry Stadium - Bowling Green Ohio
179,179,4,09/15/18,,Sat,Brigham Young,24,@,(6) Wisconsin,21,Camp Randall Stadium - Madison Wisconsin
180,180,4,09/15/18,06:00:00 PM,Sat,Buffalo,35,,Eastern Michigan,28,UB Stadium - Buffalo New York
181,181,4,09/15/18,06:00:00 PM,Sat,California,45,,Idaho State,23,California Memorial Stadium - Berkeley California
